# Logisim PLA program table
00000000 000000000 # 00
00000001 000000001 # 01
00000010 000000010 # 02
00000011 000000011 # 03
00000100 000000100 # 04
00000101 000000101 # 05
00000110 000000110 # 06
00000111 000000111 # 07
00001000 000001000 # 08
00001001 000001001 # 09
00001010 000010000 # 10
00001011 000010001 # 11
00001100 000010010 # 12
00001101 000010011 # 13
00001110 000010100 # 14
00001111 000010101 # 15
00010000 000010110 # 16
00010001 000010111 # 17
00010010 000011000 # 18
00010011 000011001 # 19
00010100 000100000 # 20
00010101 000100001 # 21
00010110 000100010 # 22
00010111 000100011 # 23
00011000 000100100 # 24
00011001 000100101 # 25
00011010 000100110 # 26
00011011 000100111 # 27
00011100 000101000 # 28
00011101 000101001 # 29
00011110 000110000 # 30
00011111 000110001 # 31
00100000 000110010 # 32
00100001 000110011 # 33
00100010 000110100 # 34
00100011 000110101 # 35
00100100 000110110 # 36
00100101 000110111 # 37
00100110 000111000 # 38
00100111 000111001 # 39
00101000 001000000 # 40
00101001 001000001 # 41
00101010 001000010 # 42
00101011 001000011 # 43
00101100 001000100 # 44
00101101 001000101 # 45
00101110 001000110 # 46
00101111 001000111 # 47
00110000 001001000 # 48
00110001 001001001 # 49
00110010 001010000 # 50
00110011 001010001 # 51
00110100 001010010 # 52
00110101 001010011 # 53
00110110 001010100 # 54
00110111 001010101 # 55
00111000 001010110 # 56
00111001 001010111 # 57
00111010 001011000 # 58
00111011 001011001 # 59
00111100 001100000 # 60
00111101 001100001 # 61
00111110 001100010 # 62
00111111 001100011 # 63
01000000 001100100 # 64
01000001 001100101 # 65
01000010 001100110 # 66
01000011 001100111 # 67
01000100 001101000 # 68
01000101 001101001 # 69
01000110 001110000 # 70
01000111 001110001 # 71
01001000 001110010 # 72
01001001 001110011 # 73
01001010 001110100 # 74
01001011 001110101 # 75
01001100 001110110 # 76
01001101 001110111 # 77
01001110 001111000 # 78
01001111 001111001 # 79
01010000 010000000 # 80
01010001 010000001 # 81
01010010 010000010 # 82
01010011 010000011 # 83
01010100 010000100 # 84
01010101 010000101 # 85
01010110 010000110 # 86
01010111 010000111 # 87
01011000 010001000 # 88
01011001 010001001 # 89
01011010 010010000 # 90
01011011 010010001 # 91
01011100 010010010 # 92
01011101 010010011 # 93
01011110 010010100 # 94
01011111 010010101 # 95
01100000 010010110 # 96
01100001 010010111 # 97
01100010 010011000 # 98
01100011 010011001 # 99
01100100 100000000 # >99
01100101 100000000 # >99
01100110 100000000 # >99
01100111 100000000 # >99
01101000 100000000 # >99
01101001 100000000 # >99
01101010 100000000 # >99
01101011 100000000 # >99
01101100 100000000 # >99
01101101 100000000 # >99
01101110 100000000 # >99
01101111 100000000 # >99
01110000 100000000 # >99
01110001 100000000 # >99
01110010 100000000 # >99
01110011 100000000 # >99
01110100 100000000 # >99
01110101 100000000 # >99
01110110 100000000 # >99
01110111 100000000 # >99
01111000 100000000 # >99
01111001 100000000 # >99
01111010 100000000 # >99
01111011 100000000 # >99
01111100 100000000 # >99
01111101 100000000 # >99
01111110 100000000 # >99
01111111 100000000 # >99
10000000 100000000 # >99
10000001 100000000 # >99
10000010 100000000 # >99
10000011 100000000 # >99
10000100 100000000 # >99
10000101 100000000 # >99
10000110 100000000 # >99
10000111 100000000 # >99
10001000 100000000 # >99
10001001 100000000 # >99
10001010 100000000 # >99
10001011 100000000 # >99
10001100 100000000 # >99
10001101 100000000 # >99
10001110 100000000 # >99
10001111 100000000 # >99
10010000 100000000 # >99
10010001 100000000 # >99
10010010 100000000 # >99
10010011 100000000 # >99
10010100 100000000 # >99
10010101 100000000 # >99
10010110 100000000 # >99
10010111 100000000 # >99
10011000 100000000 # >99
10011001 100000000 # >99
10011010 100000000 # >99
10011011 100000000 # >99
10011100 100000000 # >99
10011101 100000000 # >99
10011110 100000000 # >99
10011111 100000000 # >99
10100000 100000000 # >99
10100001 100000000 # >99
10100010 100000000 # >99
10100011 100000000 # >99
10100100 100000000 # >99
10100101 100000000 # >99
10100110 100000000 # >99
10100111 100000000 # >99
10101000 100000000 # >99
10101001 100000000 # >99
10101010 100000000 # >99
10101011 100000000 # >99
10101100 100000000 # >99
10101101 100000000 # >99
10101110 100000000 # >99
10101111 100000000 # >99
10110000 100000000 # >99
10110001 100000000 # >99
10110010 100000000 # >99
10110011 100000000 # >99
10110100 100000000 # >99
10110101 100000000 # >99
10110110 100000000 # >99
10110111 100000000 # >99
10111000 100000000 # >99
10111001 100000000 # >99
